HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
Sorry I am not sure,I don't know.
Sorry I am not sure,I'll need to take some time to think on that.
Sorry I am not sure,Can you try rephrasing that please?
Sorry I am not sure,I'm not sure about that.
Sorry I am not sure,Is there a different way you can ask that?
Sorry I am not sure,I don't have a response for that.
Sorry I am not sure,I will have to give that some thought.
Sorry I am not sure,I don't really know what you are asking.
Sorry I am not sure,There are some things I just don't know about yet.
Sorry I am not sure,I'm not an expert on that.
Sorry I am not sure,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am Rythmia
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hi!!
Hi,Hello !!
Hey,Hello there!!
What's up?,Nothin much you tell
Who are you?,I am Rythmia!
What is your name?,Rythmia
Ask me questions?,Okay Do you like Music?
Yesss ,What Kind of Genre?
Can't be specific,Ohkay great!!
